DATE,RAINFALL(mm),PERCOLATION
07172009,2,1.472829206
07182009,1,0.736414603
07192009,6,4.418487619
07202009,4,2.945658413
07212009,0,0
07222009,2,1.472829206
07232009,29,21.35602349
07242009,3,2.20924381
07252009,7,5.154902222
07262009,2,1.472829206
07272009,0,0
07282009,0,0
07292009,0,0
07302009,0,0
07312009,0,0
08012009,0,0
08022009,0,0
08032009,0,0
08042009,0,0
08052009,0,0
08062009,0,0
08072009,0,0
08082009,0,0
08092009,0,0
08102009,0,0
08112009,0,0
08122009,0,0
08132009,0,0
08142009,0,0
08152009,0,0
08162009,0,0
08172009,1,0.736414603
08182009,0,0
08192009,0,0
08202009,0,0
08212009,0,0
08222009,0,0
08232009,0,0
08242009,0,0
08252009,0,0
08262009,0,0
08272009,2,1.472829206
08282009,15,11.04621905
08292009,37,27.24734032
08302009,86,63.33165587
08312009,3,2.20924381
09012009,6,4.418487619
09022009,0,0
09032009,0,0
09042009,0,0
09052009,0,0
09062009,0,0
09072009,0,0
09082009,0,0
09092009,0,0
09102009,0,0
09112009,0,0
09122009,0,0
09142009,0,0
09152009,0,0
09162009,0,0
09172009,0,0
09182009,0,0
09192009,0,0
09202009,0,0
09212009,0,0
09222009,0,0
09232009,0,0
09242009,0,0
09252009,0,0
09262009,0,0
09272009,0,0
09282009,0,0
09292009,0,0
09302009,0,0
10012009,0,0
10022009,0,0
10032009,0,0
10042009,0,0
10052009,23,16.93753587
10062009,0,0
10072009,0,0
10082009,0,0
10092009,0,0
10102009,0,0
10112009,0,0
10122009,0,0
10132009,0,0
10142009,0,0
10152009,0,0
10162009,0,0
10172009,0,0
10182009,0,0
10202009,0,0
10212009,0,0
10222009,0,0
10232009,0,0
10242009,0,0
10252009,0,0
10262009,0,0
10272009,0,0
10282009,0,0
10292009,0,0
10302009,0,0
10312009,0,0
11012009,0,0
11022009,0,0
11032009,0,0
11042009,0,0
11052009,0,0
11062009,0,0
11072009,0,0
11082009,0,0
11092009,0,0
11102009,0,0
11112009,0,0
11122009,0,0
11132009,0,0
11142009,0,0
11152009,0,0
11162009,0,0
11172009,0,0
11182009,0,0
11192009,0,0
11202009,0,0
11212009,0,0
11222009,0,0
11232009,0,0
11242009,0,0
11252009,0,0
11262009,0,0
11272009,0,0
11282009,0,0
11292009,0,0
11302009,0,0
12012009,0,0
12022009,0,0
12032009,0,0
12042009,0,0
12052009,0,0
12062009,0,0
12072009,0,0
12082009,0,0
12092009,0,0
12102009,0,0
12112009,0,0
12122009,0,0
12132009,0,0
12142009,0,0
12152009,0,0
12162009,0,0
12172009,0,0
12182009,0,0
12192009,0,0
12202009,0,0
12212009,0,0
12222009,0,0
12232009,0,0
12242009,0,0
12252009,0,0
12262009,0,0
12272009,0,0
12282009,0,0
12292009,0,0
12302009,0,0
12312009,0,0
01012010,0,0
01022010,0,0
01032010,0,0
01042010,0,0
01052010,0,0
01062010,0,0
01072010,0,0
01082010,0,0
01092010,0,0
01102010,0,0
01112010,0,0
01122010,0,0
01132010,0,0
01142010,0,0
01152010,0,0
01162010,0,0
01182010,0,0
01192010,0,0
01202010,0,0
01212010,0,0
01222010,0,0
01232010,0,0
01242010,0,0
01252010,0,0
01262010,0,0
01272010,0,0
01282010,0,0
01292010,0,0
01302010,0,0
01312010,0,0
02012010,0,0
02022010,0,0
02032010,0,0
02042010,0,0
02052010,0,0
02062010,0,0
02072010,0,0
02082010,0,0
02092010,0,0
02102010,0,0
02112010,0,0
02122010,0,0
02132010,0,0
02142010,0,0
02152010,0,0
02162010,0,0
02172010,0,0
02182010,0,0
02192010,0,0
02202010,0,0
02212010,0,0
02222010,0,0
02232010,0,0
02242010,0,0
02252010,0,0
02262010,0,0
02272010,0,0
02282010,0,0
03012010,0,0
03022010,0,0
03032010,0,0
03042010,0,0
03052010,0,0
03062010,0,0
03072010,0,0
03082010,0,0
03092010,0,0
03102010,0,0
03112010,0,0
03122010,0,0
03132010,0,0
03142010,0,0
03152010,0,0
03162010,0,0
03172010,0,0
03182010,0,0
03192010,0,0
03202010,0,0
03212010,0,0
03222010,0,0
03232010,0,0
03242010,0,0
03252010,0,0
03262010,0,0
03272010,0,0
03282010,0,0
03292010,0,0
03302010,0,0
03312010,0,0
04012010,0,0
04022010,0,0
04032010,0,0
04042010,0,0
04052010,0,0
04062010,0,0
04072010,0,0
04082010,0,0
04092010,0,0
04102010,0,0
04112010,0,0
04122010,0,0
04132010,0,0
04142010,0,0
04152010,0,0
04162010,0,0
04172010,0,0
04182010,0,0
04192010,0,0
04292010,0,0
04302010,0,0
05012010,0,0
05022010,0,0
05032010,0,0
05042010,0,0
05052010,0,0
05062010,0,0
05072010,0,0
05082010,0,0
05092010,0,0
05102010,0,0
05112010,0,0
05122010,0,0
05132010,0,0
05142010,0,0
05152010,0,0
05162010,0,0
05172010,0,0
05182010,0,0
05192010,0,0
05202010,0,0
05212010,0,0
05222010,0,0
05232010,0,0
05242010,0,0
05252010,0,0
05262010,0,0
05272010,0,0
05282010,0,0
05292010,0,0
05302010,0,0
05312010,0,0
06012010,0,0
06022010,5,3.682073016
06032010,0,0
06042010,0,0
06052010,0,0
06062010,3,2.20924381
06072010,37,27.24734032
06082010,9,6.627731429
06092010,0,0
06102010,0,0
06112010,0,0
06122010,0,0
06132010,0,0
06142010,0,0
06152010,1,0.736414603
06162010,0,0
06172010,12,8.836975238
06182010,0,0
06192010,0,0
06202010,0,0
06212010,0,0
06222010,0,0
06232010,0,0
06242010,0,0
06252010,0,0
06262010,0,0
06272010,0,0
06282010,0,0
06292010,0,0
06302010,0,0
07012010,0,0
07022010,45,33.13865714
07032010,20,14.72829206
07042010,1,0.736414603
07052010,9,6.627731429
07062010,4,2.945658413
07072010,15,11.04621905
07082010,0,0
07092010,0,0
07102010,3,2.20924381
07112010,0,0
07122010,0,0
07132010,0,0
07142010,5,3.682073016
07152010,0,0
07162010,0,0
07172010,2,1.472829206
07182010,0,0
07192010,0,0
07202010,0,0
07212010,1,0.736414603
07222010,67,49.33977841
07232010,1,0.736414603
07242010,135,99.41597143
07252010,25,18.41036508
07262010,69,50.81260762
07272010,2,1.472829206
07282010,12,8.836975238
07292010,3,2.20924381
07302010,0,0
07312010,0,0
08012010,86,63.33165587
08022010,57,41.97563238
08032010,100,73.64146032
08042010,67,49.33977841
08052010,0,0
08062010,0,0
08072010,2,1.472829206
08092010,141,103.834459
08102010,0,0
08112010,41,30.19299873
08122010,0,0
08132010,0,0
08142010,29,21.35602349
08152010,2,1.472829206
08162010,0,0
08152010,0,0
08162010,0,0
08172010,0,0
08182010,0,0
08192010,24,17.67395048
08202010,13,9.573389841
08212010,1,0.736414603
08222010,14,10.30980444
08232010,0,0
08242010,1,0.736414603
08252010,0,0
08262010,1,0.736414603
08272010,0,0
08282010,5,3.682073016
08292010,33,24.30168191
08302010,4,2.945658413
08312010,6,4.418487619
09012010,2,1.472829206
09022010,1,0.736414603
09032010,1,0.736414603
09042010,0,0
09052010,6,4.418487619
09062010,3,2.20924381
09072010,16,11.78263365
09082010,3,2.20924381
09102010,40,29.45658413
09112010,13,9.573389841
09122010,2,1.472829206
09132010,8,5.891316826
09142010,0,0
09152010,2,1.472829206
09162010,0,0
09172010,0,0
09182010,0,0
09192010,0,0
09202010,0,0
09232010,0,0
09242010,0,0
09252010,0,0
09262010,0,0
09272010,0,0
09282010,0,0
09272010,0,0
09282010,0,0
09292010,0,0
09302010,0,0
10012010,0,0
10022010,0,0
10032010,0,0
10042010,0,0
10052010,0,0
10062010,0,0
10072010,0,0
10082010,0,0
10092010,0,0
10102010,0,0
10112010,0,0
10122010,0,0
10132010,0,0
10142010,0,0
10152010,0,0
10162010,0,0
10172010,0,0
10182010,0,0
10192010,0,0
10202010,0,0
10212010,0,0
10222010,0,0
10232010,0,0
10242010,0,0
10252010,0,0
10262010,0,0
10272010,0,0
10282010,0,0
10292010,0,0
10302010,0,0
10312010,0,0
11012010,0,0
11022010,0,0
11032010,0,0
11042010,0,0
11052010,0,0
11062010,0,0
11072010,0,0
11082010,0,0
11092010,0,0
11102010,0,0
11112010,0,0
11122010,0,0
11132010,0,0
11142010,0,0
11152010,0,0
11162010,0,0
11172010,4,2.945658413
11182010,0,0
11192010,0,0
11202010,0,0
11212010,0,0
11222010,0,0
11212010,1,0.736414603
11222010,1,0.736414603
11232010,4,2.945658413
11252010,0,0
11262010,0,0
11272010,0,0
11282010,0,0
11292010,0,0
12022010,0,0
12032010,0,0
12042010,0,0
12052010,0,0
12062010,0,0
12072010,0,0
12082010,0,0
12092010,0,0
12102010,0,0
12112010,0,0
12122010,0,0
12132010,0,0
12142010,0,0
12152010,0,0
12162010,0,0
12172010,0,0
12182010,0,0
12272010,0,0
12292010,0,0
01012011,0,0
01262011,0,0
04062011,0,0
04072011,0,0
04082011,0,0
04092011,0,0
04102011,0,0
04112011,0,0
04122011,1,0.736414603
04132011,0,0
04142011,0,0
04152011,0,0
04162011,0,0
04172011,0,0
04182011,0,0
04192011,0,0
04202011,0,0
04212011,0,0
04222011,0,0
04232011,0,0
04242011,0,0
04252011,0,0
04262011,0,0
04272011,0,0
04282011,0,0
04292011,0,0
04302011,0,0
05012011,0,0
05022011,0,0
05032011,0,0
05042011,0,0
05052011,0,0
05062011,0,0
05102011,0,0
05112011,0,0
05122011,0,0
05132011,0,0
05142011,0,0
05152011,0,0
05162011,0,0
05172011,0,0
05182011,0,0
05192011,0,0
05202011,0,0
05212011,0,0
05222011,0,0
05232011,0,0
05242011,0,0
05252011,0,0
05262011,0,0
05272011,9,6.627731429
05282011,0,0
05292011,0,0
05302011,0,0
05312011,0,0
06012011,0,0
06022011,0,0
06032011,2,1.472829206
06042011,0,0
06052011,0,0
06062011,0,0
06072011,0,0
06082011,0,0
06092011,0,0
06102011,0,0
06112011,0,0
06122011,0,0
06132011,0,0
06142011,0,0
06152011,0,0
06162011,0,0
06172011,0,0
06182011,0,0
06192011,0,0
06202011,0,0
06212011,0,0
06222011,0,0
06232011,0,0
06242011,0,0
06252011,0,0
06262011,0,0
06272011,0,0
06282011,0,0
06292011,0,0
07012011,0,0
07022011,0,0
07032011,0,0
07042011,0,0
07052011,0,0
07062011,0,0
07072011,23,16.93753587
07082011,9,6.627731429
07092011,52,38.29355937
07102011,32,23.5652673
07112011,37,27.24734032
07122011,2,1.472829206
07132011,0,0
07142011,2,1.472829206
07152011,0,0
07162011,0,0
07172011,0,0
07182011,24,17.67395048
07192011,3,2.20924381
07202011,0,0
07212011,0,0
07222011,0,0
07232011,1,0.736414603
07242011,2,1.472829206
07252011,0,0
07262011,4,2.945658413
07272011,0,0
07282011,0,0
07292011,13,9.573389841
07302011,0,0
07312011,0,0
08012011,0,0
08022011,0,0
08032011,0,0
08042011,0,0
08052011,0,0
08062011,0,0
08072011,0,0
08082011,0,0
08092011,27,19.88319429
08102011,28,20.61960889
08112011,41,30.19299873
08122011,11,8.100560635
08132011,36,26.51092571
08142011,21,15.46470667
08152011,5,3.682073016
08162011,0,0
08172011,2,1.472829206
08182011,0,0
08192011,0,0
08202011,3,2.20924381
08212011,14,10.30980444
08222011,0,0
08232011,0,0
08242011,0,0
08252011,0,0
08262011,0,0
08272011,0,0
08282011,0,0
08292011,0,0
08302011,0,0
08312011,0,0
09012011,0,0
09022011,0,0
09032011,0,0
09042011,0,0
09052011,0,0
09062011,0,0
09072011,0,0
09082011,0,0
09092011,0,0
09102011,0,0
09112011,0,0
09122011,0,0
09132011,0,0
09142011,0,0
09152011,0,0
09162011,0,0
09172011,0,0
09182011,0,0
09192011,0,0
09202011,0,0
09212011,0,0
09222011,0,0
09232011,0,0
09242011,0,0
09252011,0,0
09262011,0,0
09272011,0,0
09292011,0,0
09302011,0,0
10012011,0,0
10022011,0,0
10032011,0,0
10042011,0,0
10052011,0,0
10062011,0,0
10072011,0,0
10082011,0,0
10092011,0,0
10102011,0,0
10112011,0,0
10122011,0,0
10132011,0,0
10142011,0,0
10152011,0,0
10162011,0,0
10172011,0,0
10182011,0,0
10192011,0,0
10202011,0,0
10212011,0,0
10222011,0,0
10232011,0,0
10242011,0,0
10252011,0,0
10262011,0,0
10272011,0,0
10282011,0,0
10292011,0,0
10302011,0,0
10312011,0,0
11012011,0,0
11022011,0,0
11032011,0,0
11042011,0,0
11052011,0,0
11062011,0,0
11072011,0,0
11082011,0,0
11092011,0,0
11102011,0,0
11112011,0,0
11122011,0,0
11132011,0,0
11142011,0,0
11152011,0,0
11162011,0,0
11172011,0,0
11182011,0,0
11192011,0,0
11202011,0,0
11212011,0,0
11222011,0,0
11232011,0,0
11242011,0,0
11252011,0,0
11262011,0,0
11272011,0,0
11282011,0,0
11292011,0,0
11302011,0,0
12012011,0,0
12022011,0,0
12032011,0,0
12042011,0,0
12052011,0,0
12062011,0,0
12072011,0,0
12082011,0,0
12092011,0,0
12102011,0,0
12112011,0,0
12122011,0,0
12132011,0,0
12142011,0,0
12152011,0,0
12162011,0,0
12172011,0,0
12182011,0,0
12192011,0,0
12202011,0,0
12212011,0,0
12222011,0,0
12232011,0,0
12242011,0,0
12252011,0,0
12262011,0,0
12272011,0,0
12282011,0,0
12292011,0,0
12302011,0,0
12312011,0,0
01012012,0,0
01022012,0,0
01032012,0,0
01042012,0,0
01052012,0,0
01062012,0,0
01072012,0,0
01082012,0,0
01092012,0,0
01102012,0,0
01112012,0,0
01122012,0,0
01132012,0,0
01142012,0,0
01152012,0,0
01162012,0,0
01172012,0,0
01182012,0,0
01192012,0,0
01202012,0,0
01212012,0,0
01222012,0,0
01232012,0,0
01242012,0,0
01252012,0,0
01262012,0,0
01272012,0,0
01282012,0,0
01292012,0,0
01302012,0,0
01312012,0,0
02012012,0,0
02022012,0,0
02032012,0,0
02042012,0,0
02052012,0,0
02062012,0,0
02072012,0,0
02082012,0,0
02092012,0,0
02102012,0,0
02112012,0,0
02122012,0,0
02132012,0,0
02142012,0,0
02152012,0,0
02162012,0,0
02172012,0,0
02182012,0,0
02192012,0,0
02202012,0,0
02212012,0,0
02222012,0,0
02232012,0,0
02242012,0,0
02252012,0,0
02262012,0,0
02272012,0,0
02282012,0,0
02292012,0,0
03012012,0,0
03022012,0,0
03032012,0,0
03042012,0,0
03052012,0,0
03062012,0,0
03072012,0,0
03082012,0,0
03092012,0,0
03102012,0,0
03112012,0,0
03122012,0,0
03132012,0,0
03142012,0,0
03152012,0,0
03162012,0,0
03172012,0,0
03182012,0,0
03192012,0,0
03202012,0,0
03212012,0,0
03222012,0,0
03232012,0,0
03242012,0,0
03252012,0,0
03262012,0,0
03272012,0,0
03282012,0,0
03292012,0,0
03302012,0,0
03312012,0,0
04012012,0,0
04022012,0,0
04032012,0,0
04042012,0,0
04052012,0,0
04062012,0,0
04072012,0,0
04082012,0,0
04092012,0,0
04102012,0,0
04112012,0,0
04122012,0,0
04132012,0,0
04142012,0,0
04152012,0,0
04162012,0,0
04172012,0,0
04182012,0,0
04192012,0,0
04202012,0,0
04212012,0,0
04222012,0,0
04232012,0,0
04242012,0,0
04252012,0,0
04262012,0,0
04272012,0,0
04282012,0,0
04292012,0,0
04302012,0,0
05012012,0,0
05022012,0,0
05032012,0,0
05042012,0,0
05052012,0,0
05062012,0,0
05072012,0,0
05082012,0,0
05092012,0,0
05102012,0,0
05112012,0,0
05122012,0,0
05132012,0,0
05142012,0,0
05152012,0,0
05162012,0,0
05172012,0,0
05182012,0,0
05192012,0,0
05202012,0,0
05212012,0,0
05222012,0,0
05232012,0,0
05242012,0,0
05252012,0,0
05262012,0,0
05272012,0,0
05282012,0,0
05292012,0,0
05302012,0,0
05312012,0,0
06012012,0,0
06022012,0,0
06032012,0,0
06042012,0,0
06052012,0,0
06062012,0,0
06072012,0,0
06082012,0,0
06092012,0,0
06102012,0,0
06112012,0,0
06122012,0,0
06132012,0,0
06142012,0,0
06152012,0,0
06162012,0,0
06172012,0,0
06182012,0,0
06192012,0,0
06202012,0,0
06252012,0,0
06262012,0,0
06272012,0,0
06282012,0,0
06292012,0,0
06302012,0,0
07012012,0,0
07022012,0,0
07032012,0,0
07042012,0,0
07052012,0,0
07062012,0,0
07072012,0,0
07082012,0,0
07092012,0,0
07102012,0,0
07112012,0,0
07122012,0,0
07132012,0,0
07142012,0,0
07152012,0,0
07162012,0,0
07172012,0,0
07182012,0,0
07192012,0,0
07202012,0,0
07212012,0,0
07222012,0,0
07232012,0,0
07242012,0,0
07252012,0,0
07262012,0,0
07272012,0,0
07282012,0,0
07292012,0,0
07302012,0,0
07312012,0,0
08012012,0,0
08022012,0,0
08032012,0,0
08042012,0,0
08052012,0,0
08062012,0,0
08072012,0,0
08082012,0,0
08092012,0,0
08102012,0,0
08112012,0,0
08122012,0,0
08132012,0,0
08142012,0,0
08152012,0,0
08162012,0,0
08172012,0,0
08182012,0,0
08192012,0,0
08202012,0,0
08212012,0,0
08222012,0,0
08232012,0,0
08242012,0,0
08252012,0,0
08262012,0,0
08272012,0,0
08282012,0,0
08292012,0,0
08302012,0,0
08312012,0,0
09012012,0,0
09022012,0,0
09032012,0,0
09042012,0,0
09052012,0,0
09062012,0,0
09072012,0,0
09082012,0,0
09092012,0,0
09102012,0,0
09112012,0,0
09122012,0,0
09152012,0,0
09162012,0,0
09112013,0,0
09122013,16,11.78263365
09142013,0,0
09152013,0,0
09162013,0,0
09172013,0,0
09182013,0,0
09192013,0,0
09202013,0,0
09212013,0,0
09222013,12,8.836975238
09232013,0,0
09242013,0,0
09252013,0,0
09262013,0,0
09272013,0,0
09282013,0,0
09292013,0,0
09302013,0,0
10012013,0,0
10022013,0,0
10032013,0,0
10042013,0,0
10052013,0,0
10062013,0,0
10072013,0,0
10082013,0,0
10092013,0,0
10102013,0,0
10112013,0,0
10122013,0,0
10132013,0,0
10142013,0,0
10152013,0,0
10162013,0,0
10172013,0,0
10182013,0,0
10192013,0,0
10202013,0,0
10212013,0,0
10222013,0,0
10232013,0,0
10242013,0,0
10252013,0,0
10262013,0,0
10292013,0,0
10302013,0,0
10312013,0,0
11012013,0,0
11022013,0,0
11032013,0,0
11042013,0,0
11052013,0,0
11062013,0,0
11072013,0,0
11082013,0,0
11092013,0,0
11102013,0,0
11112013,0,0
11122013,0,0
11132013,0,0
11142013,0,0
11152013,0,0
11162013,0,0
11172013,0,0
11182013,0,0
11192013,0,0
11202013,0,0
11212013,0,0
11222013,0,0
11232013,0,0
11242013,0,0
11252013,0,0
11262013,0,0
11272013,0,0
11282013,0,0
11292013,0,0
11302013,0,0
12012013,0,0
12022013,0,0
12032013,0,0
12042013,0,0
12052013,0,0
12062013,0,0
12072013,0,0
12082013,0,0
12092013,0,0
12102013,0,0
12112013,0,0
12122013,0,0
12132013,0,0
12142013,0,0
12152013,0,0
12162013,0,0
12172013,0,0
12182013,0,0
12192013,0,0
12202013,0,0
12212013,0,0
12222013,0,0
12232013,0,0
12242013,0,0
12252013,0,0
12262013,0,0
12272013,0,0
12282013,0,0
12292013,0,0
12302013,0,0
12312013,0,0
01012014,0,0
01022014,0,0
01032014,0,0
01042014,0,0
01052014,0,0
01062014,0,0
01072014,0,0
01082014,0,0
01092014,0,0
01102014,0,0
01112014,0,0
01122014,0,0
01132014,0,0
01142014,0,0
01152014,0,0
01162014,0,0
01172014,0,0
01182014,0,0
01192014,0,0
01202014,0,0
01212014,0,0
01222014,0,0
01232014,0,0
01242014,0,0
01252014,0,0
01262014,0,0
01272014,0,0
01282014,0,0
01292014,0,0
01302014,0,0
01312014,0,0
02012014,0,0
02022014,0,0
02032014,0,0
02042014,0,0
02052014,0,0
02062014,0,0
02072014,0,0
02082014,0,0
02092014,0,0
02102014,0,0
02112014,0,0
02122014,0,0
02132014,0,0
02142014,0,0
02152014,0,0
02162014,0,0
02172014,0,0
02182014,0,0
02192014,0,0
02202014,0,0
02212014,0,0
02222014,0,0
02232014,0,0
02242014,0,0
02252014,0,0
02262014,0,0
02272014,0,0
02282014,0,0
03012014,0,0
03022014,0,0
03032014,0,0
03042014,0,0
03052014,0,0
03062014,0,0
03072014,0,0
03082014,0,0
03092014,0,0
03102014,0,0
03112014,0,0
03122014,0,0
03132014,0,0
03142014,0,0
03152014,0,0
03162014,0,0
03172014,0,0
03182014,0,0
03192014,0,0
03202014,0,0
03212014,0,0
03222014,0,0
03232014,0,0
03242014,0,0
03252014,0,0
03262014,0,0
03272014,0,0
03282014,0,0
03292014,0,0
03302014,0,0
03312014,0,0
04012014,0,0
04022014,0,0
04032014,0,0
04042014,0,0
04052014,0,0
04062014,0,0
04072014,0,0
04082014,0,0
04092014,0,0
04102014,0,0
04112014,0,0
04122014,0,0
04132014,0,0
04142014,0,0
04152014,0,0
04162014,0,0
04172014,0,0
04182014,0,0
04192014,0,0
04202014,19,13.99187746
04212014,0,0
04222014,0,0
04232014,0,0
04242014,0,0
04252014,0,0
04262014,0,0
04272014,0,0
04282014,0,0
04292014,0,0
04302014,0,0
05012014,0,0
05022014,0,0
05032014,0,0
05042014,0,0
05052014,0,0
05062014,0,0
05072014,0,0
05082014,0,0
05092014,0,0
05102014,0,0
05112014,0,0
05122014,0,0
05132014,0,0
05142014,0,0
05152014,0,0
05162014,0,0
05172014,0,0
05182014,0,0
05192014,0,0
05202014,0,0
05212014,0,0
05222014,0,0
05232014,0,0
05242014,0,0
05252014,0,0
05262014,0,0
05272014,0,0
05282014,0,0
05292014,0,0
05302014,0,0
05312014,0,0
06012014,0,0
06022014,2,1.472829206
06032014,0,0
06042014,0,0
06052014,0,0
06062014,0,0
06072014,0,0
06082014,0,0
06092014,0,0
06102014,0,0
06112014,0,0
06122014,0,0
06132014,0,0
06142014,0,0
06152014,0,0
06162014,0,0
06172014,0,0
06182014,0,0
06192014,0,0
06202014,0,0
06212014,0,0
06222014,0,0
06232014,0,0
06242014,0,0
06252014,0,0
06262014,0,0
06272014,0,0
06282014,0,0
06292014,0,0
06302014,0,0
07012014,0,0
07022014,0,0
07032014,0,0
07042014,0,0
07052014,0,0
07062014,0,0
07072014,0,0
07082014,0,0
07092014,0,0
07102014,0,0
07112014,0,0
07122014,0,0
07132014,0,0
07142014,1,0.736414603
07152014,0,0
07162014,0,0
07172014,0,0
07182014,0,0
07192014,3,2.20924381
07202014,0,0
07212014,0,0
07222014,0,0
07232014,2,1.472829206
07242014,23,16.93753587
07252014,0,0
07262014,1,0.736414603
07272014,0,0
07282014,0,0
07292014,3,2.20924381
07302014,79,58.17675365
07312014,15,11.04621905
08012014,6,4.418487619
08022014,15,11.04621905
08032014,4,2.945658413
08042014,0,0
08052014,2,1.472829206
08062014,5,3.682073016
08072014,1,0.736414603
08082014,0,0
08092014,0,0
08102014,0,0
08112014,0,0
08122014,12,8.836975238
08132014,3,2.20924381
08142014,0,0
08152014,0,0
08162014,0,0
08172014,0,0
08182014,0,0
08192014,0,0
08202014,0,0
08212014,0,0
08222014,0,0
08232014,0,0
08242014,0,0
08252014,0,0
08262014,0,0
08272014,0,0
08282014,1,0.736414603
08292014,0,0
08302014,39,28.72016952
08312014,61,44.92129079
09012014,51,37.55714476
09022014,0,0
09032014,2,1.472829206
09042014,33,24.30168191
09052014,0,0
09062014,0,0
09072014,0,0
09082014,62,45.6577054
09092014,77,56.70392445
09102014,53,39.02997397
09112014,0,0
09122014,6,4.418487619
09132014,0,0
09142014,0,0
09152014,1,0.736414603
09162014,0,0
09172014,0,0
09182014,0,0
09192014,0,0
09202014,0,0
09212014,0,0
09222014,0,0
09232014,0,0
09242014,0,0
09252014,0,0
09262014,0,0
09272014,0,0
09282014,0,0
09292014,0,0
09302014,0,0
10012014,0,0
10022014,0,0
10032014,0,0
10042014,0,0
10052014,0,0
10062014,0,0
10072014,0,0
10082014,0,0
10092014,0,0
10102014,0,0
10112014,0,0
10122014,0,0
10132014,0,0
10142014,0,0
10152014,0,0
10162014,0,0
10172014,0,0
10182014,0,0
10192014,0,0
10202014,0,0
10212014,0,0
10222014,0,0
10232014,0,0
10242014,0,0
10252014,0,0
10262014,0,0
10272014,0,0
10282014,0,0
10292014,0,0
10302014,0,0
10312014,0,0
11012014,0,0
11022014,0,0
11032014,0,0
11042014,0,0
11052014,0,0
11062014,0,0
11072014,0,0
11082014,0,0
11092014,0,0
11102014,0,0
11112014,0,0
11122014,0,0
11132014,0,0
11142014,0,0
11152014,26,19.14677968
11162014,0,0
11172014,0,0
11182014,0,0
11192014,0,0
11202014,0,0
11212014,0,0
11222014,0,0
11232014,0,0
11242014,0,0
11252014,0,0
11262014,0,0
11272014,0,0
11282014,0,0
11292014,0,0
11302014,0,0
12012014,0,0
12022014,0,0
12032014,0,0
12042014,0,0
12052014,0,0
12062014,0,0
12072014,0,0
12082014,0,0
12092014,0,0
12102014,0,0
12112014,0,0
12122014,0,0
